	chromosome	start	end
0	1	69091	70008
1	1	134901	139379
2	1	139790	140339
3	1	367640	368634
4	1	621059	622053
5	1	696291	697369
6	1	738532	739137
7	1	818043	819983
8	1	860260	879955
9	1	861264	866445
10	1	879584	894689
11	1	895967	901095
12	1	901877	911245
13	1	910579	917497
14	1	934342	935552
15	1	947377	948573
16	1	948803	949920
17	1	955503	991496
18	1	990413	991496
19	1	1006346	1009687
20	1	1017198	1051741
21	1	1108436	1114935
22	1	1109264	1133315
23	1	1138888	1142071
24	1	1146706	1149518
25	1	1152288	1167411
26	1	1167629	1170421
27	1	1177826	1182102
28	1	1189289	1209265
29	1	1215816	1227409
30	1	1227756	1244989
31	1	1243947	1247057
32	1	1246965	1260071
33	1	1252961	1254069
34	1	1260136	1264277
35	1	1266694	1270686
36	1	1270656	1284730
37	1	1288069	1297157
38	1	1309110	1310875
39	1	1321091	1334708
40	1	1334902	1337426
41	1	1337288	1342693
42	1	1353800	1357149
43	1	1355625	1358071
44	1	1361508	1363167
45	1	1370241	1378262
46	1	1385069	1405538
47	1	1407143	1433228
48	1	1447531	1470067
49	1	1470554	1475833
50	1	1477053	1510249
51	1	1510355	1511373
52	1	1533392	1535476
53	1	1549138	1551175
54	1	1550795	1565990
55	1	1567474	1570639
56	1	1570603	1590473
57	1	1590786	1594063
58	1	1592939	1624167
59	1	1603429	1604850
60	1	1634169	1655766
61	1	1656277	1677431
62	1	1682671	1711896
63	1	1716729	1822495
64	1	1822910	1824097
65	1	1846266	1848735
66	1	1849029	1850712
67	1	1853396	1935276
68	1	1944652	1946969
69	1	1950780	1962192
70	1	1980642	1981509
71	1	1981909	2116834
72	1	2072523	2076718
73	1	2113233	2115828
74	1	2115903	2144159
75	1	2121237	2123179
76	1	2143360	2145620
77	1	2160134	2241558
78	1	2252692	2323146
79	1	2257640	2258132
80	1	2258581	2259042
81	1	2294500	2295067
82	1	2306292	2306792
83	1	2309056	2309799
84	1	2323267	2336883
85	1	2336236	2345236
86	1	2357419	2436969
87	1	2423739	2424697
88	1	2424876	2425918
89	1	2439972	2458039
90	1	2460184	2461684
91	1	2487078	2496821
92	1	2497849	2501327
93	1	2512999	2515972
94	1	2517930	2522908
95	1	2522078	2564481
96	1	2564007	2568059
97	1	2567415	2718286
98	1	2938046	2939465
99	1	2976179	2985001
100	1	2985732	3355185
101	1	3049491	3050273
102	1	3370990	3397677
103	1	3406484	3528059
104	1	3539754	3541307
105	1	3541566	3546691
106	1	3547331	3569325
107	1	3569084	3652765
108	1	3575502	3585336
109	1	3628764	3630862
110	1	3652548	3663900
111	1	3668962	3688209
112	1	3689352	3692546
113	1	3696784	3713068
114	1	3701572	3702102
115	1	3728645	3773778
116	1	3773845	3801993
117	1	3805689	3816857
118	1	4714792	4852594
119	1	5922871	6052533
120	1	6051526	6161253
121	1	6100630	6101399
122	1	6161853	6240183
123	1	6241329	6269449
124	1	6264900	6265840
125	1	6265535	6281359
126	1	6281253	6296032
127	1	6296300	6299504
128	1	6304252	6305638
129	1	6307406	6321035
130	1	6324329	6454451
131	1	6453615	6454451
132	1	6472478	6484730
133	1	6484848	6521430
134	1	6503094	6507066
135	1	6521211	6526255
136	1	6526152	6580121
137	1	6581407	6614595
138	1	6615241	6639817
139	1	6640061	6649340
140	1	6650784	6674667
141	1	6673745	6684093
142	1	6684926	6695646
143	1	6694228	6761984
144	1	6843952	6844903
145	1	6845384	7829766
146	1	7068436	7074339
147	1	7429003	7430331
148	1	7442548	7449814
149	1	7501156	7501614
150	1	7831329	7841492
151	1	7836443	7836835
152	1	7844380	7905237
153	1	7870302	7887402
154	1	7903143	7913572
155	1	7979907	8000926
156	1	8014351	8045565
157	1	8064464	8086368
158	1	8377886	8404227
159	1	8412457	8877702
160	1	8484705	8494898
161	1	8921061	8939308
162	1	8935847	8938066
163	1	8938894	8939953
164	1	9005926	9035151
165	1	9063359	9086404
166	1	9095166	9148537
167	1	9160364	9189229
168	1	9294834	9331396
169	1	9352939	9429591
170	1	9599541	9645237
171	1	9648932	9674935
172	1	9711790	9789172
173	1	9712668	9714644
174	1	9732484	9747613
175	1	9789084	9884584
176	1	9908334	9970394
177	1	9908376	9910212
178	1	9982173	10003465
179	1	10002981	10010032
180	1	10003486	10045559
181	1	10043199	10044626
182	1	10057264	10076078
183	1	10092890	10241297
184	1	10270863	10441661
185	1	10458649	10480201
186	1	10489938	10490734
187	1	10490159	10512210
188	1	10490159	10512210
189	1	10509776	10511959
190	1	10516579	10532583
191	1	10518612	10519395
192	1	10532345	10690815
193	1	10696661	10856707
194	1	10699298	10714390
195	1	11006528	11042094
196	1	11072414	11085796
197	1	11086580	11107290
198	1	11089716	11090585
199	1	11114641	11120081
200	1	11126675	11159938
201	1	11128528	11133154
202	1	11159732	11162157
203	1	11166592	11322564
204	1	11203955	11209594
205	1	11249398	11256038
206	1	11333263	11356106
207	1	11539223	11597641
208	1	11708424	11715842
209	1	11714432	11723384
210	1	11724181	11734411
211	1	11734537	11751707
212	1	11751786	11785914
213	1	11796141	11814859
214	1	11821844	11849642
215	1	11837134	11839676
216	1	11845780	11866977
217	1	11866207	11903201
218	1	11901074	11908136
219	1	11905766	11908402
220	1	11917521	11918988
221	1	11979648	11986485
222	1	11994262	12035595
223	1	12040238	12073571
224	1	12079523	12092102
225	1	12123434	12204264
226	1	12227060	12269285
227	1	12290124	12572099
228	1	12627939	12677737
229	1	12704566	12727097
230	1	12776118	12788726
231	1	12806163	12823847
232	1	12834984	12838049
233	1	12851546	12856777
234	1	12884468	12891264
235	1	12907261	12908578
236	1	12916941	12921764
237	1	12939045	12946025
238	1	12952727	12958101
239	1	12976450	12980569
240	1	12998181	13117751
241	1	13035543	13038381
242	1	13052394	13052998
243	1	13216356	13219581
244	1	13328196	13331692
245	1	13359819	13369057
246	1	13386646	13390765
247	1	13421176	13428191
248	1	13447414	13452656
249	1	13474689	13477522
250	1	13495254	13498260
251	1	13516066	13526943
252	1	13641973	13648988
253	1	13668269	13673511
254	1	13694889	13698405
255	1	13716092	13719089
256	1	13736907	13747803
257	1	13801445	13840543
258	1	13839715	13842765
259	1	13909960	13944452
260	1	14026693	14151574
261	1	14925200	15444539
262	1	15479028	15546976
263	1	15490840	15497813
264	1	15573768	15726779
265	1	15653176	15670372
266	1	15660662	15661960
267	1	15736391	15756839
268	1	15764935	15775737
269	1	15783223	15798586
270	1	15792404	15817895
271	1	15817327	15853029
272	1	15853308	15918874
273	1	15892106	15892451
274	1	15898848	15911605
275	1	15912631	15930121
276	1	15943995	15995539
277	1	15986364	15988217
278	1	16010827	16061264
279	1	16049214	16063391
280	1	16062900	16067891
281	1	16066546	16076391
282	1	16068917	16074477
283	1	16083102	16113089
284	1	16160560	16174642
285	1	16174359	16266955
286	1	16268364	16302627
287	1	16330731	16335302
288	1	16332655	16333166
289	1	16340523	16346089
290	1	16345370	16360545
291	1	16370272	16383803
292	1	16384264	16400127
293	1	16450832	16482582
294	1	16481706	16483824
295	1	16485761	16488378
296	1	16524349	16524852
297	1	16524349	16539104
298	1	16555368	16556038
299	1	16558195	16563657
300	1	16573334	16678949
301	1	16679070	16724640
302	1	16713612	16763919
303	1	16767167	16786573
304	1	16865561	16866070
305	1	16888814	16940057
306	1	16999498	17000007
307	1	17060447	17060956
308	1	17066768	17299474
309	1	17300997	17307330
310	1	17305421	17331586
311	1	17312453	17338423
312	1	17345217	17380665
313	1	17393256	17445948
